stock_name,scientific_name,common_name,region,tsn,fishery_type,age,age_type,source
LINGVa,Molva molva,Ling,Europe non EU,164760,Gadids,25,max reported,FishBase
LOBSTERGB,Homarus americanus,American lobster,US East Coast,97314,Invertebrate,100,suspected upper limit,NOAA
LOBSTERGOM,Homarus americanus,American lobster,US East Coast,97314,Invertebrate,100,suspected upper limit,NOAA
LOBSTERSNE,Homarus americanus,American lobster,US East Coast,97314,Invertebrate,100,suspected upper limit,NOAA
LSTHORNHPCOAST,Sebastolobus altivelis,Longspine thornyhead,US West Coast,166784,Rockfish,45,max reported,FishBase
MACK5YCHATT,Scomber scombrus,Atlantic mackerel,US East Coast,172414,Forage Fish,17,max reported,FishBase
MACKNEICES,Scomber scombrus,Mackerel,European Union,172414,Forage Fish,17,max reported,FishBase
MACKNWATLSA3-4,Scomber scombrus,Mackerel,Canada East Coast,172414,Forage Fish,17,max reported,FishBase
MENATGM,Brevoortia patronus,Gulf menhaden,US Southeast and Gulf,161734,Forage Fish,12,upper age range,NOAA
MENATLAN,Brevoortia tyrannus,Atlantic menhaden,US East Coast,161732,Forage Fish,12,upper age range,NOAA
MORWONGESE,Nemadactylus macropterus,Jackass morwong,Australia,170262,Other Marine,50,max reported,FishBase
MUTSNAPSATLCGM,Lutjanus analis,Mutton snapper,US Southeast and Gulf,168849,Other Marine,29,max reported,FishBase
NPOUTIIIa-IV,Trisopterus esmarkii,Norway pout,European Union,164756,Gadids,5,max reported,FishBase
NROCKBSAI,Sebastes polyspinis,Northern rockfish,US Alaska,166735,Rockfish,57,max reported,FishBase
NROCKGA,Sebastes polyspinis,Northern rockfish,US Alaska,166735,Rockfish,57,max reported,FishBase
NRSOLEEBSAI,Lepidopsetta polyxystra,Northern rock sole,US Alaska,616392,Flatfish,18,max reported,FishBase
NRSOLEGA,Lepidopsetta polyxystra,Northern rock sole,US Alaska,616392,Flatfish,18,max reported,FishBase
NSHRIMPCSCH,Heterocarpus reedi,Nylon shrimp,South America,97075,Invertebrate,NA,NA,NA
NSHRIMPNCH,Heterocarpus reedi,Nylon shrimp,South America,97075,Invertebrate,NA,NA,NA
NZLINGESE,Genypterus blacodes,Ling,Australia,165000,Other Marine,30,max reported,FishBase
NZLINGLIN3-4,Genypterus blacodes,Ling,New Zealand,165000,Other Marine,30,max reported,FishBase
NZLINGLIN5-6,Genypterus blacodes,Ling,New Zealand,165000,Other Marine,30,max reported,FishBase
NZLINGLIN72,Genypterus blacodes,Ling,New Zealand,165000,Other Marine,30,max reported,FishBase
NZLINGLIN7WC,Genypterus blacodes,Ling,New Zealand,165000,Other Marine,30,max reported,FishBase
NZLINGWSE,Genypterus blacodes,Ling,Australia,165000,Other Marine,30,max reported,FishBase
NZSNAPNZ1ENLD,Chrysophrys auratus,New Zealand snapper,New Zealand,169231,Other Marine,54,max reported,FishBase
NZSNAPNZ7,Chrysophrys auratus,New Zealand snapper,New Zealand,169231,Other Marine,54,max reported,FishBase
NZSNAPNZ8,Chrysophrys auratus,New Zealand snapper,New Zealand,169231,Other Marine,54,max reported,FishBase
OFLOUNECS,Paralichthys olivaceus,Japanese flounder,Japan,172744,Flatfish,30,subbed from similar species,FishBase
PACBTUNA,Thunnus orientalis,Pacific bluefin tuna,Pacific Ocean,172422,Tuna and Marlin,15,max reported,FishBase
PANCHCCH,Engraulis ringens,Peruvian anchoveta,South America,551340,Forage Fish,3,max reported,FishBase
PANCHNCHSP,Engraulis ringens,Peruvian anchoveta,South America,551340,Forage Fish,3,max reported,FishBase
PANCHPERUNC,Engraulis ringens,Peruvian anchoveta,South America,551340,Forage Fish,3,max reported,FishBase
PANDALIIIaW-IVaE,Pandalus borealis,Northern shrimp,European Union,96967,Invertebrate,NA,NA,NA
PATGRENADIERCH,Macruronus magellanicus,Patagonian grenadier,South America,550662,Gadids,25,subbed from similar species,NA
PATGRENADIERSARG,Macruronus magellanicus,Patagonian grenadier,South America,550662,Gadids,25,subbed from similar species,NA
PCEELARGS,Genypterus blacodes,Pink cusk eel,South America,165000,Other Marine,30,max reported,FishBase
PCEELCSCH,Genypterus blacodes,Pink cusk eel,South America,165000,Other Marine,30,max reported,FishBase
PCEELSCH,Genypterus blacodes,Pink cusk eel,South America,165000,Other Marine,30,max reported,FishBase
PCODBS,Gadus macrocephalus,Pacific cod,US Alaska,164711,Gadids,25,max reported,FishBase
PCODGA,Gadus macrocephalus,Pacific cod,US Alaska,164711,Gadids,25,max reported,FishBase
PERCHEBSAI,Sebastes alutus,Pacific ocean perch,US Alaska,166707,Rockfish,103,max reported,FishBase
PERCHQCI,Sebastes alutus,Pacific ocean perch,Canada West Coast,166707,Rockfish,103,max reported,FishBase
PERCHWCVANI,Sebastes alutus,Pacific ocean perch,Canada West Coast,166707,Rockfish,103,max reported,FishBase
PHAKEPCOAST,Merluccius productus,Pacific hake,US West Coast,164792,Gadids,16,subbed from similar species,FishBase
PINKSHRIMPGM,Farfantepenaeus duorarum,Pink shrimp,US Southeast and Gulf,551574,Invertebrate,NA,NA,NA
PLAIC7d,Pleuronectes platessa,European plaice,European Union,172902,Flatfish,50,max reported,FishBase
PLAICECHW,Pleuronectes platessa,European plaice,European Union,172902,Flatfish,50,max reported,FishBase
PLAICNS,Pleuronectes platessa,European plaice,European Union,172902,Flatfish,50,max reported,FishBase
PLAICVIIh-k,Pleuronectes platessa,European plaice,European Union,172902,Flatfish,50,max reported,FishBase
POLL5YZ,Pollachius virens,Pollock,US East Coast,164727,Gadids,25,max reported,FishBase
POLLFAPL,Pollachius virens,Pollock,Europe non EU,164727,Gadids,25,max reported,FishBase
POLLIEG,Pollachius virens,Pollock,Europe non EU,164727,Gadids,25,max reported,FishBase
POLLNEAR,Pollachius virens,Pollock,Europe non EU,164727,Gadids,25,max reported,FishBase
POLLNS-VI-IIIa,Pollachius virens,Pollock,European Union,164727,Gadids,25,max reported,FishBase
POPERCHGA,Sebastes alutus,Pacific ocean perch,US Alaska,166707,Rockfish,103,max reported,FishBase
POPERCHPCOAST,Sebastes alutus,Pacific ocean perch,US West Coast,166707,Rockfish,103,max reported,FishBase
PSOLEPCOAST,Eopsetta jordani,Petrale sole,US West Coast,172868,Flatfish,35,max reported,FishBase
PTOOTHFISHMI,Dissostichus eleginoides,Patagonian toothfish,Australia,642807,Other Marine,31,max reported,FishBase
PTOOTHFISHPEI,Dissostichus eleginoides,Patagonian toothfish,Southern Africa,642807,Other Marine,31,max reported,FishBase
RBRMSETOW,Pagrus major,Red seabream,Japan,647892,Other Marine,54,subbed from similar species,FishBase
REDFEAUS,Centroberyx affinis,Redfish,Australia,622131,Other Marine,45,upper age range,AFMA
REXSOLEGA,Glyptocephalus zachirus,Rex sole,US Alaska,172978,Flatfish,27,max reported,FishBase
REYEROCKGA,Sebastes aleutianus,Rougheye rockfish,US Alaska,166706,Rockfish,205,max reported,FishBase
RGROUPGM,Epinephelus morio,Red grouper,US Southeast and Gulf,167702,Other Marine,25,max reported,FishBase
RGROUPSATL,Epinephelus morio,Red grouper,US Southeast and Gulf,167702,Other Marine,25,max reported,FishBase
RHERRTSST,Etrumeus teres,Round herring,Japan,161743,Forage Fish,4,upper age range,Honda et al 2002
RKCRABBB,Paralithodes camtschaticus,Red king crab,US Alaska,97935,Invertebrate,NA,NA,NA
RKCRABNS,Paralithodes camtschaticus,Red king crab,US Alaska,97935,Invertebrate,NA,NA,NA
RMULLMEDGSA29,Mullus barbatus,Red mullet,Mediterranean-Black Sea,169419,Other Marine,4,max reported,Yildiz and Karakulak 2016
RROCKLOBSTERSAUSNZ,Jasus edwardsii,Rock lobster,Australia,660225,Invertebrate,20,suspected upper limit,Western Australia Department of Fisheries
RROCKLOBSTERSAUSSZ,Jasus edwardsii,Rock lobster,Australia,660225,Invertebrate,20,suspected upper limit,Western Australia Department of Fisheries
RSFLOUNSOJ,Eopsetta grigorjewi,Round nose flounder,Japan,172869,Flatfish,5,upper end of age range,Kim et al. 2010
RSNAPGM,Lutjanus campechanus,Red snapper,US Southeast and Gulf,168853,Other Marine,57,max reported,FishBase
RSNAPSATLC,Lutjanus campechanus,Red snapper,US Southeast and Gulf,168853,Other Marine,57,max reported,FishBase
RSOLE5AB,Lepidopsetta bilineata,Rock sole,Canada West Coast,172917,Flatfish,26,max reported,FishBase
RSOLEGA,Lepidopsetta bilineata,Rock sole,US Alaska,172917,Flatfish,26,max reported,FishBase
RSOLEHSTR,Lepidopsetta bilineata,Rock sole,Canada West Coast,172917,Flatfish,26,max reported,FishBase
RSQLOBSTERCSCH,Pleuroncodes monodon,Red squat lobster,South America,-993,Invertebrate,NA,NA,NA
RSROCKBCWN,Sebastes proriger,Redstripe rockfish,Canada West Coast,166736,Rockfish,55,max reported,FishBase
RSROCKBCWS,Sebastes proriger,Redstripe rockfish,Canada West Coast,166736,Rockfish,55,max reported,FishBase
SABLEFEBSAIGA,Anoplopoma fimbria,Sablefish,US Alaska,167123,Other Marine,94,max reported,FishBase
SABLEFPCAN,Anoplopoma fimbria,Sablefish,Canada West Coast,167123,Other Marine,94,max reported,FishBase
SABLEFPCOAST,Anoplopoma fimbria,Sablefish,US West Coast,167123,Other Marine,94,max reported,FishBase
SARDPVIIIc-IXa,Sardina pilchardus,Sardine,European Union,161813,Forage Fish,15,max reported,FishBase
SARDSAS,Sardinops sagax,Sardine,Southern Africa,161729,Forage Fish,25,max reported,FishBase
SBELLYROCKPCOAST,Sebastes jordani,Shortbelly rockfish,US West Coast,166725,Rockfish,31,max reported,FishBase
SBT,Thunnus maccoyii,Southern bluefin tuna,Indian Ocean,172431,Tuna and Marlin,20,max reported,FishBase
SBWHITACIR,Micromesistius australis,Southern blue whiting,New Zealand,164775,Gadids,20,subbed from similar species,
SBWHITCH,Micromesistius australis,Southern blue whiting,South America,164775,Gadids,20,subbed from similar species,
SDOGBLKGSA29,Squalus acanthias,Spiny dogfish,Mediterranean-Black Sea,160617,Sharks Rays and Skates,75,max reported,FishBase
SEELNSSA1,Ammodytes spp,Sand eel,European Union,171671,Forage Fish,3,upper assessment age,MacDonald et al 2019
SEELNSSA2,Ammodytes spp,Sand eel,European Union,171671,Forage Fish,3,upper assessment age,MacDonald et al 2019
SEELNSSA3,Ammodytes spp,Sand eel,European Union,171671,Forage Fish,3,upper assessment age,MacDonald et al 2019
SEELNSSA4,Ammodytes spp,Sand eel,European Union,171671,Forage Fish,3,upper assessment age,MacDonald et al 2019
SFLOUNMATLC,Paralichthys dentatus,Summer flounder,US East Coast,172735,Flatfish,9,max reported,FishBase
SILVERFISHSE,Seriolella punctata,Silverfish,Australia,172534,Other Marine,15,max reported,FishBase
SKJCWPAC,Katsuwonus pelamis,Skipjack tuna,Pacific Ocean,172401,Tuna and Marlin,12,max reported,FishBase
SMOOTHOREOCR,Pseudocyttus maculatus,Smooth oreo,New Zealand,625280,Other Marine,100,max reported,FishBase
SNAPSAUSNSG,Chrysophrys auratus,Snapper,Australia,169231,Other Marine,54,max reported,FishBase
SNOWCRABBS,Chionoecetes opilio,Snow crab,US Alaska,98428,Invertebrate,20,upper age range,NOAA
SNROCKPCOAST,Sebastes diploproa,Splitnose rockfish,US West Coast,166716,Rockfish,86,max reported,FishBase
SOLECS,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEIIIa-2224,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEIS,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLENS,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEVIId,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEVIIe,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEVIIh-k,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOLEVIIIab,Solea solea,Common sole,European Union,173002,Flatfish,26,max reported,FishBase
SOUTHHAKECR,Merluccius australis,Southern hake,New Zealand,164797,Gadids,16,subbed from similar species,NA
SOUTHHAKEWCSI,Merluccius australis,Southern hake,New Zealand,164797,Gadids,16,subbed from similar species,NA
SPANMACKGM,Scomberomorus maculatus,Spanish mackerel,US Southeast and Gulf,172436,Tuna and Marlin,5,max reported,FishBase
SPANMACKSETO,Scomberomorus niphonius,Japanese Spanish mackerel,Japan,172446,Tuna and Marlin,4,max reported,Nishikawa et al 2014
SPHAKECH,Merluccius gayi,South Pacific hake,South America,164799,Gadids,16,subbed from similar species,NA
SPRAT22-32,Sprattus sprattus,Sprat,European Union,161789,Forage Fish,6,max reported,FishBase
SPRATIIIa-IV,Sprattus sprattus,Sprat,European Union,161789,Forage Fish,6,max reported,FishBase
STFLOUNSPCOAST,Platichthys stellatus,Starry flounder,US West Coast,172893,Flatfish,24,max reported,FishBase
STMARLINNEPAC,Kajikia audax,Striped marlin,Pacific Ocean,768127,Tuna and Marlin,20,suspected upper limit,NOAA
STMARLINWCNPAC,Kajikia audax,Striped marlin,Pacific Ocean,768127,Tuna and Marlin,20,suspected upper limit,NOAA
STRIPEDBASSGOMCHATT,Morone saxatilis,Striped bass,US East Coast,167680,Other Marine,30,max reported,FishBase
TANNERCRABBSAI,Chionoecetes bairdi,Tanner crab,US Alaska,98429,Invertebrate,12,max reported,SeaLifeBase
THRSHARNPAC,Alopias vulpinus,Thresher shark,Pacific Ocean,159916,Sharks Rays and Skates,25,max reported,FishBase
TIGERFLATSE,Neoplatycephalus richardsoni,Tiger flathead,Australia,644187,Other Marine,12,max reported,FishBase
TILESATLC,Lopholatilus chamaeleonticeps,Tilefish,US Southeast and Gulf,168546,Other Marine,35,max reported,FishBase
TREVALLYTRE7,Pseudocaranx dentex,Trevally,New Zealand,168641,Other Marine,49,max reported,FishBase
TURIV,Scophthalmus maximus,Turbot,European Union,172748,Flatfish,25,max reported,FishBase
VSNAPSATLC,Rhomboplites aurorubens,Vermilion snapper,US Southeast and Gulf,168909,Other Marine,10,max reported,FishBase
WANGLVIIIc-IXa,Lophius piscatorius,White anglerfish,European Union,164501,Other Marine,24,max reported,FishBase
WANGLVII-VIIIabd,Lophius piscatorius,White anglerfish,European Union,164501,Other Marine,24,max reported,FishBase
WAREHOUESE,Seriolella brama,Blue warehou,Australia,172531,Other Marine,15,max reported,FishBase
WAREHOUWSE,Seriolella brama,Blue warehou,Australia,172531,Other Marine,15,max reported,FishBase
WHAKE4T,Urophycis tenuis,White hake,Canada East Coast,164732,Gadids,23,max reported,FishBase
WHAKEGBGOM,Urophycis tenuis,White hake,US East Coast,164732,Gadids,23,max reported,FishBase
WHITMEDGSA29,Merlangius merlangus,Whiting,Mediterranean-Black Sea,164758,Gadids,20,max reported,FishBase
WHITVIa,Merlangius merlangus,Whiting,European Union,164758,Gadids,20,max reported,FishBase
WHITVIIa,Merlangius merlangus,Whiting,European Union,164758,Gadids,20,max reported,FishBase
WINFLOUN4T,Pseudopleuronectes americanus,Winter flounder,Canada East Coast,172905,Flatfish,14,max reported,FishBase
WINFLOUN5Z,Pseudopleuronectes americanus,Winter flounder,US East Coast,172905,Flatfish,14,max reported,FishBase
WINFLOUNSNEMATL,Pseudopleuronectes americanus,Winter flounder,US East Coast,172905,Flatfish,14,max reported,FishBase
WITFLOUN4RST,Glyptocephalus cynoglossus,Witch flounder,Canada East Coast,172873,Flatfish,25,max reported,FishBase
WITFLOUN5Y,Glyptocephalus cynoglossus,Witch flounder,US East Coast,172873,Flatfish,25,max reported,FishBase
WMARLINATL,Tetrapturus albidus,White marlin,Atlantic Ocean,172499,Tuna and Marlin,30,upper age range,Maryland DNR
WPOLLAI,Theragra chalcogramma,Walleye pollock,US Alaska,164722,Gadids,28,max reported,FishBase
WPOLLEBS,Theragra chalcogramma,Walleye pollock,US Alaska,164722,Gadids,28,max reported,FishBase
WPOLLGA,Theragra chalcogramma,Walleye pollock,US Alaska,164722,Gadids,28,max reported,FishBase
WROCKPCOAST,Sebastes entomelas,Widow rockfish,US West Coast,166719,Rockfish,60,max reported,FishBase
YELLCCODGOM,Limanda ferruginea,Yellowtail flounder,US East Coast,172909,Flatfish,12,max reported,FishBase
YELLGB,Limanda ferruginea,Yellowtail flounder,US East Coast,172909,Flatfish,12,max reported,FishBase
YELLSNEMATL,Limanda ferruginea,Yellowtail flounder,US East Coast,172909,Flatfish,12,max reported,FishBase
YEYEROCKPCOAST,Sebastes ruberrimus,Yelloweye rockfish,US West Coast,166740,Rockfish,118,max reported,FishBase
YFINEIO,Thunnus albacares,Yellowfin tuna,Indian Ocean,172423,Tuna and Marlin,9,max reported,FishBase
YFINEPAC,Thunnus albacares,Yellowfin tuna,Pacific Ocean,172423,Tuna and Marlin,9,max reported,FishBase
YSOLEBSAI,Limanda aspera,Yellowfin sole,US Alaska,172907,Flatfish,34,max reported,FishBase
YTROCKNPCOAST,Sebastes flavidus,Yellowtail rockfish,US West Coast,166720,Rockfish,64,max reported,FishBase
