stock_name,curve_shape
ALSKABSAI,dome
ATBTUNAEATL,dome
ATKABSAI,dome
AUSSALMONNZ,dome
BGRDRNSWWA,dome
BIGEYEEPAC,dome
BSBASSMATLC,dome
BSQLOBSTERCSCH,dome
BSQLOBSTERNCH,dome
CALSCORPSCAL,dome
CODFAPL,dome
DSOLEPCOAST,dome
GHALNEAR,dome
GOPHERSPCOAST,dome
GSTRGZRSTA7,dome
HAD4X5Y,dome
HADFAPL,dome
HADVIIb.k,dome
HERR4RFA,dome
HERRPRD,dome
JPUFFIMKB,dome
KELPGREENLINGORECOAST,dome
KMACKGM,dome
LOBSTERGB,dome
NROCKGA,dome
NSHRIMPNCH,dome
NZLINGLIN5.6,dome
NZLINGWSE,dome
OFLOUNECS,dome
PLAICCELT,dome
PLAICIS,dome
POLLFAPL,dome
PSALMAKPSWUD,dome
REDDEEPDP.1.2.V.XII.XIV,dome
REXSOLEGA,dome
RKCRABNS,dome
RROCKLOBSTERSAUSSZ,dome
RSOLEGA,dome
SFLOUNMATLC,dome
SNAPSAUSSSG,dome
SNROCKPCOAST,dome
SOLENS,dome
SSALMCHIGNIKL,dome
SSALMCHILKATL,dome
STFLOUNSPCOAST,dome
TANNERCRABBSAI,dome
TILEGM,dome
WITFLOUN4RST,dome
WITFLOUN5Y,dome
WPOLLEBS,dome
ACMACKSARG,monotonic
ALBANPAC,monotonic
ALBASPAC,monotonic
ALPLAICBSAI,monotonic
ARFLOUNDBSAI,monotonic
ARFLOUNDPCOAST,monotonic
ARGANCHONARG,monotonic
ARGANCHOSARG,monotonic
ARGHAKESARG,monotonic
ATBTUNAWATL,monotonic
ATHAL3NOPs4VWX5Zc,monotonic
ATLCROAKMATLC,monotonic
AUROCKPCOAST,monotonic
BIGEYECWPAC,monotonic
BIGEYEIO,monotonic
BIGHTREDSE,monotonic
BLACKROCKWASH,monotonic
BLUEFISHATLC,monotonic
BLUEROCKCAL,monotonic
BMACKPJPN,monotonic
BWHITNEA,monotonic
CABEZNCAL,monotonic
CABEZORECOAST,monotonic
CABEZSCAL,monotonic
CHERRCHVX,monotonic
CHILISPCOAST,monotonic
COBGM,monotonic
COD1F.XIV,monotonic
COD1IN,monotonic
COD3Ps,monotonic
COD4TVn,monotonic
CODBA2224,monotonic
CODICE,monotonic
CODIS,monotonic
CODKAT,monotonic
CODNEARNCW,monotonic
CSALMANDREAR,monotonic
CSALMANVIKR,monotonic
CSALMHOODC,monotonic
CSALMKTRNS,monotonic
CSALMSSOUNDFR,monotonic
CSALMSSOUNDSR,monotonic
CSALMSSOUNDWR,monotonic
CSALMWILLB,monotonic
CSALMYUKONRFR,monotonic
CSARDCSCH,monotonic
CTRACSA,monotonic
CUSKVa.XIV,monotonic
DEEPCHAKESA,monotonic
DEEPFLATHEADSE,monotonic
DKROCKPCOAST,monotonic
DSOLEGA,monotonic
DUSROCKGA,monotonic
EBASSIVbc.VII,monotonic
EBASSVIIIab,monotonic
FLSOLEBSAI,monotonic
FLSOLEGA,monotonic
GAGSATLC,monotonic
GEMFISHNZ,monotonic
GHALBSAI,monotonic
GKCRABAIES,monotonic
GKCRABAIWS,monotonic
GOLDREDNEAR,monotonic
GOLDREDV.VI.XII.XIV,monotonic
GRAMBERSATLC,monotonic
GRNSTROCKPCOAST,monotonic
GRSNAPGM,monotonic
HAD5Y,monotonic
HADGB,monotonic
HADICE,monotonic
HADNS.IIIa.VIa,monotonic
HADROCK,monotonic
HAKENRTN,monotonic
HAKESOTH,monotonic
HERR4RSP,monotonic
HERR4TFA,monotonic
HERRCC,monotonic
HERRIsum,monotonic
HERRNORSS,monotonic
HERRPWS,monotonic
HERRQCI,monotonic
HERRWCVANI,monotonic
HMACKIIa.IVa.Vb.VIa.VII.VIII,monotonic
HOKIENZ,monotonic
HOKIWNZ,monotonic
JANCHOSETO,monotonic
KMACKSATLC,monotonic
KMFLOUNBSAI,monotonic
LSTHORNHPCOAST,monotonic
MEGVII.VIIIabd,monotonic
MENATGM,monotonic
MENATLAN,monotonic
MORWONGWSE,monotonic
MUTSNAPSATLCGM,monotonic
NROCKBSAI,monotonic
NRSOLEEBSAI,monotonic
NRSOLEGA,monotonic
NZLINGESE,monotonic
NZLINGLIN3.4,monotonic
NZLINGLIN7WC,monotonic
NZSNAPNZ8,monotonic
PACBTUNA,monotonic
PANCHNCHSP,monotonic
PANDALIIIaW.IVaE,monotonic
PATGRENADIERSARG,monotonic
PAUAPAU5D,monotonic
PCODBS,monotonic
PCODGA,monotonic
PERCHEBSAI,monotonic
PERCHQCI,monotonic
PERCHWCVANI,monotonic
PHAKEPCOAST,monotonic
PLAIC2123,monotonic
PLAICECHW,monotonic
PLAICNS,monotonic
POLL5YZ,monotonic
POLLIEG,monotonic
POLLNEAR,monotonic
POLLNS.VI.IIIa,monotonic
POPERCHPCOAST,monotonic
PSALMCHIGNIKWD,monotonic
PSALMESAKPH,monotonic
PSALMPWSED,monotonic
PSALMTUTKASD,monotonic
PTOOTHFISHMI,monotonic
PTOOTHFISHPEI,monotonic
RBRMSETOW,monotonic
REYEROCKGA,monotonic
RGROUPGM,monotonic
RGROUPSATL,monotonic
RKCRABBB,monotonic
RROCKLOBSTERSAUSNZ,monotonic
RSFLOUNSOJ,monotonic
RSNAPGM,monotonic
RSNAPSATLC,monotonic
RSQLOBSTERCSCH,monotonic
RSROCKBCWN,monotonic
RSROCKBCWS,monotonic
SABLEFEBSAIGA,monotonic
SABLEFPCAN,monotonic
SARDSAW,monotonic
SARDWSE,monotonic
SBELLYROCKPCOAST,monotonic
SBWHITACIR,monotonic
SBWHITARGS,monotonic
SCMPBP,monotonic
SCMPMB,monotonic
SCMPWHB,monotonic
SEELNSSA1,monotonic
SEELNSSA3,monotonic
SEELNSSA4,monotonic
SKJCWPAC,monotonic
SNAPSAUSNSG,monotonic
SNOWCRABBS,monotonic
SOLECS,monotonic
SOLEIIIa.2224,monotonic
SOLEVIId,monotonic
SOLEVIIh.k,monotonic
SOUTHHAKECH,monotonic
SOUTHHAKEWCSI,monotonic
SPANMACKGM,monotonic
SSALMBIRKENH,monotonic
SSALMEALSEKDR,monotonic
SSALMIGUSHIK,monotonic
SSALMKLUKSHUR,monotonic
SSALMLWASH,monotonic
SSALMNAHANTLATCH,monotonic
SSALMNASS,monotonic
SSALMQUIN,monotonic
SSALMSITUKR,monotonic
SSTHORNHPCOAST,monotonic
STMARLINNEPAC,monotonic
STMARLINWCNPAC,monotonic
SWHITSE,monotonic
TILEMATLC,monotonic
TREVALLYTRE7,monotonic
TURIV,monotonic
VSNAPGM,monotonic
VSNAPSATLC,monotonic
WANGLVIIIc.IXa,monotonic
WANGLVII.VIIIabd,monotonic
WAREHOUWSE,monotonic
WHAKE4T,monotonic
WHITNS.VIId,monotonic
WINFLOUN5Z,monotonic
WPOLLGA,monotonic
WROCKBCW,monotonic
WROCKPCOAST,monotonic
YEGROUPGM,monotonic
YELLCCODGOM,monotonic
YELLGB,monotonic
YFINEIO,monotonic
YSOLEBSAI,monotonic
YTROCKNPCOAST,monotonic
